iteration,Number of sentence,Number of Error sentence,Number of Skip  sentence,Number of Valid sentence,Bracketing Recall,Bracketing Precision,Bracketing FMeasure,Complete match,Average crossing,No crossing,2 or less crossing,Tagging accuracy
11729,2245,0,2121,124,73.79,55.79,63.54,17.74,1.80,62.90,81.45,100.00
11730,2245,0,2121,124,73.79,55.79,63.54,17.74,1.80,62.90,81.45,100.00
11731,2245,0,2120,125,72.78,54.78,62.51,17.60,2.03,62.40,80.80,100.00
11732,2245,0,2118,127,72.49,54.73,62.37,17.32,2.09,61.42,79.53,100.00
11733,2245,0,2118,127,72.97,55.19,62.84,17.32,1.95,61.42,79.53,100.00
11734,2245,0,2116,129,72.11,54.49,62.07,17.05,2.03,60.47,79.07,100.00
11735,2245,0,2116,129,72.11,54.49,62.07,17.05,2.03,60.47,79.07,100.00
11736,2245,0,2116,129,72.11,54.49,62.07,17.05,2.03,60.47,79.07,100.00
11737,2245,0,2116,129,72.11,54.49,62.07,17.05,2.03,60.47,79.07,100.00
11738,2245,0,2116,129,72.11,54.45,62.05,17.05,2.03,60.47,79.07,100.00
11739,2245,0,30,2215,67.94,66.24,67.08,7.77,3.29,30.88,53.77,100.00
11740,2245,0,30,2215,67.95,66.25,67.09,7.77,3.29,30.88,53.77,100.00
11741,2245,0,30,2215,67.95,66.24,67.09,7.77,3.29,30.88,53.77,100.00
11742,2245,0,30,2215,67.96,66.25,67.09,7.77,3.29,30.93,53.91,100.00
11743,2245,0,30,2215,67.94,66.26,67.09,7.77,3.29,30.93,53.91,100.00
11744,2245,0,30,2215,67.92,66.24,67.07,7.77,3.29,30.84,53.91,100.00
11745,2245,0,30,2215,67.87,66.20,67.03,7.77,3.29,30.74,53.95,100.00
11746,2245,0,30,2215,67.86,66.20,67.02,7.77,3.29,30.70,53.86,100.00
11747,2245,0,28,2217,67.84,66.17,66.99,7.76,3.30,30.67,53.81,100.00
11748,2245,0,28,2217,67.83,66.16,66.98,7.76,3.30,30.67,53.81,100.00
11749,2245,0,28,2217,67.86,66.18,67.01,7.80,3.30,30.81,53.72,100.00
11750,2245,0,28,2217,67.87,66.20,67.03,7.80,3.30,30.94,53.86,100.00
11751,2245,0,28,2217,67.90,66.23,67.05,7.80,3.29,30.94,53.81,100.00
11752,2245,0,28,2217,67.92,66.26,67.08,7.80,3.29,30.94,53.81,100.00
11753,2245,0,28,2217,67.95,66.30,67.12,7.80,3.28,30.94,53.86,100.00
11754,2245,0,28,2217,67.99,66.36,67.17,7.80,3.27,30.99,53.90,100.00
11755,2245,0,28,2217,67.99,66.37,67.17,7.85,3.27,31.03,53.95,100.00
11756,2245,0,28,2217,67.98,66.36,67.16,7.80,3.27,31.03,53.99,100.00
11757,2245,0,28,2217,67.95,66.34,67.14,7.80,3.28,31.08,53.72,100.00
11758,2245,0,28,2217,67.99,66.38,67.18,7.80,3.28,31.08,53.72,100.00
11759,2245,0,28,2217,68.03,66.40,67.20,7.80,3.27,31.17,53.95,100.00
